trial_id,filename,model,model_short,model_tier,provider,condition,task,trial_type,trial_number,session_date,temperature,first_tac_index,dialogue_turns_before_first_tac,asked_about_features,asked_about_location,asked_about_danny_location,precondition_coverage,hallucinated_features,hallucinated_location,premature_action,diagnostic_category,diagnostic_source_order,log_anchoring_type,hypotheses_count_grounded,hypotheses_count_log_derived,diagnostic_knowledge_ratio,log_data_misinterpretation,valid_causes,invalid_causes,diagnostic_validity,expresses_uncertainty_in_diagnosis,communication_milestone_count,appropriate_communication,fetch_request_turn,fetch_action_type,correct_action_selection,consequence_reasoning_evidence,compensation_attempted,action_loop_in_fetch,corrective_tac_count,cascade_pattern,cascade_severity,spatial_state_maintained,time_to_first_action,decision_points_traceable,decision_points_opaque,traceability_rate,hallucinated_commands,hallucinated_facts,valid_commands,invalid_commands,command_validity_rate,queried_fetch_procedure,fetch_procedure_followed,queried_diagnose_procedure,diagnose_procedure_followed,queried_resolve_procedure,resolve_procedure_followed,queried_search_procedure,search_procedure_followed,kb_queries_before_first_tac,total_kb_queries,queried_logs,searchlogs_before_diagnosis,total_log_queries,log_queries_before_first_tac,task_completed,termination_reason,action_loop_detected,total_tac_commands,total_sac_commands,total_commands,unique_tac_types_used,total_time_seconds,mean_response_time_ms,sd_response_time_ms,max_response_time_ms,prompts,input_tokens,output_tokens,total_tokens,coding_status,flagged,coding_notes,,,
claude-opus-4-6_knowledge-equalized_maintenance_2,claude-opus-4-6_knowledge-equalized_maintenance_2.json,claude-opus-4-6,claude-opus-4.6,,anthropic,knowledge-equalized,maintenance,standard,2,"2/25/2026, 3:40:48 PM",1,3,9,1,1,0,1,0,0,0,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,55,5,2,0.7142857142857143,0,1,4,0,1,1,1,1,,0,,0,,2,2,1,1,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,121,3441,2717,14483,39,337414,1652,339066,complete,0,
claude-opus-4-6_knowledge-equalized_maintenance_3,claude-opus-4-6_knowledge-equalized_maintenance_3.json,claude-opus-4-6,claude-opus-4.6,,anthropic,knowledge-equalized,maintenance,standard,3,"2/25/2026, 3:52:54 PM",1,3,10,1,1,0,1,0,0,0,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,67,5,2,0.7142857142857143,0,1,4,0,1,1,1,1,,0,,0,,2,2,1,1,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,142,3386,2572,14411,41,373208,1679,374887,complete,0,
claude-opus-4-6_knowledge-equalized_maintenance_5,claude-opus-4-6_knowledge-equalized_maintenance_5.json,claude-opus-4-6,claude-opus-4.6,,anthropic,knowledge-equalized,maintenance,standard,5,"2/25/2026, 4:31:17 PM",1,3,9,1,0,0,0.5,0,1,1,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,65,4,3,0.5714285714285714,0,1,4,0,1,1,,1,,0,,0,,2,2,1,1,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,141,3331,2552,13743,40,368054,1707,369761,complete,0,
claude-opus-4-6_knowledge-equalized_maintenance_7,claude-opus-4-6_knowledge-equalized_maintenance_4.json,claude-opus-4-6,claude-opus-4.6,,anthropic,knowledge-equalized,maintenance,standard,4,"2/25/2026, 2:47:20 PM",1,3,9,1,1,0,1,0,0,0,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,69,4,3,0.5714285714285714,0,1,0,0,,1,1,1,,0,0,0,,2,2,1,1,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,151,3450,2533,14092,43,399793,1715,401508,complete,0,
claude-opus-4-6_no-plans_maintenance_1,claude-opus-4-6_no-plans_maintenance_1.json,claude-opus-4-6,claude-opus-4.6,,anthropic,no-plans,maintenance,standard,1,"2/25/2026, 3:43:58 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,correct_separation,,4,,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,39,2,3,0.4,0,0,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,115,3271,2616,12851,36,307470,1487,308957,complete,0,
claude-opus-4-6_no-plans_maintenance_2,claude-opus-4-6_no-plans_maintenance_2.json,claude-opus-4-6,claude-opus-4.6,,anthropic,no-plans,maintenance,standard,2,"2/25/2026, 5:03:35 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,correct_separation,1,3,0.25,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,37,2,3,0.4,0,0,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,109,3535,2874,13609,32,280583,1482,282065,complete,0,
claude-opus-4-6_no-plans_maintenance_3,claude-opus-4-6_no-plans_maintenance_3.json,claude-opus-4-6,claude-opus-4.6,,anthropic,no-plans,maintenance,standard,3,"2/25/2026, 5:06:52 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,domain_first,correct_separation,,4,,,thermostat_failure,,1,1,3,1,6,WAYPOINT,0,,1,1,4,loop,circling,,40,1,5,0.16666666666666666,5,0,5,0,1,,,,,,,,,,,,,,,0,action_loop,0,5,1,6,WAYPOINT,STOP,PICKUP,GRIPPER,SEARCH,96,3537,3114,15810,31,239282,1413,240695,complete,0
claude-opus-4-6_no-plans_maintenance_4,claude-opus-4-6_no-plans_maintenance_4.json,claude-opus-4-6,claude-opus-4.6,,anthropic,no-plans,maintenance,standard,4,"2/25/2026, 5:09:44 PM",1,1,6,0,0,0,0,1,1,1,domain_grounded,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,0,5,1,6,SEARCH,1,,,,,,,,36,3,4,0.42857142857142855,0,0,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,106,3650,3085,14037,30,246630,1426,248056,complete,0,
claude-opus-4-6_no-plans_maintenance_5,claude-opus-4-6_no-plans_maintenance_5.json,claude-opus-4-6,claude-opus-4.6,,anthropic,no-plans,maintenance,standard,5,"2/25/2026, 5:13:30 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,,4,,,thermostat_failure,,1,1,3,1,6,WAYPOINT,0,,0,0,2,hallucinated_success,circling,,45,1,2,0.3333333333333333,2,0,2,0,1,,,,,,,,,,,,,,,0,incomplete,0,2,1,3,WAYPOINT,SEARCH,78,3152,2869,13806,29,205080,1095,206175,complete,0,,,
gemini-3-flash-preview_knowledge-equalized_maintenance_1,gemini-3-flash-preview_knowledge-equalized_maintenance_1.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,knowledge-equalized,maintenance,standard,1,"2/25/2026, 7:27:33 PM",1,5,6,0,0,0,0,1,1,1,domain_grounded,domain_first,paraphrase_only,4,1,0.8,,thermostat_failure,,1,0,5,1,5,SEARCH,1,,,,,,,,25,2,9,0.18181818181818182,0,3,4,0,1,1,,1,1,0,,0,,2,2,1,0,3,3,1,success,0,4,5,9,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,51,2368,1677,7133,27,146200,680,146880,complete,0,
gemini-3-flash-preview_knowledge-equalized_maintenance_2,gemini-3-flash-preview_knowledge-equalized_maintenance_2.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,knowledge-equalized,maintenance,standard,2,"2/25/2026, 7:28:51 PM",1,6,7,0,0,0,0,1,1,1,domain_grounded,domain_first,correct_separation,3,1,0.75,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,38,4,6,0.4,3,2,4,0,1,1,,1,1,0,,0,,2,2,1,0,4,4,1,success,0,4,6,10,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,104,2109,1566,7784,46,378283,722,379005,complete,0,
gemini-3-flash-preview_knowledge-equalized_maintenance_3,gemini-3-flash-preview_knowledge-equalized_maintenance_3.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,knowledge-equalized,maintenance,standard,3,"2/25/2026, 7:31:02 PM",1,3,5,0,0,0,0,1,1,1,domain_grounded,domain_first,correct_separation,3,1,0.75,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,17,0,7,0,4,3,0,4,0,1,,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,34,2171,1046,4294,18,81957,581,82538,complete,0,
gemini-3-flash-preview_knowledge-equalized_maintenance_4,gemini-3-flash-preview_knowledge-equalized_maintenance_4.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,knowledge-equalized,maintenance,standard,4,"2/25/2026, 7:32:04 PM",1,5,6,0,0,0,0,1,1,1,domain_grounded,logs_first,paraphrase_only,3,1,0.75,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,41,0,9,0,2,3,4,0,1,1,,0,,0,,0,,2,2,1,0,3,3,1,success,0,4,5,9,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,49,5898,6014,19908,18,96062,715,96777,complete,0,
gemini-3-flash-preview_knowledge-equalized_maintenance_5,gemini-3-flash-preview_knowledge-equalized_maintenance_5.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,knowledge-equalized,maintenance,standard,5,"2/25/2026, 7:33:39 PM",1,4,12,1,1,0,1,0,1,1,data_anchored,logs_first,paraphrase_only,0,4,0,,thermostat_failure,,1,1,5,1,6,SEARCH,1,,,,,,,,44,0,8,0,0,3,4,0,1,1,1,1,,0,,0,,2,2,1,1,2,2,1,success,0,4,4,8,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,117,2497,1925,10997,43,398303,2675,400978,complete,0,
gemini-3-flash-preview_no-plans_maintenance_1,gemini-3-flash-preview_no-plans_maintenance_1.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,no-plans,maintenance,standard,1,"2/25/2026, 8:01:28 PM",1,1,1,0,0,0,0,1,1,1,data_anchored,logs_first,unsupported_recurrence,0,2,0,1,thermostat_failure,,1,1,1,0,0,none,0,,0,1,1,loop,circling,,11,0,4,0,2,3,2,1,0.6666666666666666,,,,,,,,,,,,,,,0,incomplete,1,3,1,4,WAYPOINT,SEARCH,STOP,58,1992,2195,9802,25,150762,239,151001,complete,0,,
gemini-3-flash-preview_no-plans_maintenance_2,gemini-3-flash-preview_no-plans_maintenance_2.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,no-plans,maintenance,standard,2,"2/25/2026, 7:36:17 PM",1,1,6,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,2,0,,thermostat_failure,,1,1,4,1,6,SEARCH,1,,,,,,,,47,0,5,0,0,2,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,122,2657,2683,12788,37,281893,1019,282912,complete,0,
gemini-3-flash-preview_no-plans_maintenance_3,gemini-3-flash-preview_no-plans_maintenance_3.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,no-plans,maintenance,standard,3,"2/25/2026, 7:39:11 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,,1,,,thermostat_failure,,1,0,5,1,5,SEARCH,1,,,,,,,,35,0,5,0,0,0,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,102,3015,4708,23045,38,259073,593,259666,complete,0,
gemini-3-flash-preview_no-plans_maintenance_4,gemini-3-flash-preview_no-plans_maintenance_4.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,no-plans,maintenance,standard,4,"2/25/2026, 7:41:23 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,2,0,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,22,,,,0,2,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,91,2139,1287,5486,33,236245,1087,237332,complete,0,
gemini-3-flash-preview_no-plans_maintenance_5,gemini-3-flash-preview_no-plans_maintenance_5.json,gemini-3-flash-preview,gemini-3-flash-preview,,google,no-plans,maintenance,standard,5,"2/25/2026, 7:43:22 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,,2,,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,17,0,5,0,0,1,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,89,1886,1308,5640,37,269344,553,269897,complete,0,
gemini-3-pro-preview_knowledge-equalized_maintenance_1,gemini-3-pro-preview_knowledge-equalized_maintenance_1.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,knowledge-equalized,maintenance,standard,1,"2/25/2026, 2:34:33 PM",1,4,6,0,0,0,0,1,1,1,domain_grounded,domain_first,paraphrase_only,4,,,1,neither,,,1,3,1,5,SEARCH,1,,,,,,,,94,1,5,0.16666666666666666,2,3,0,1,0,1,,1,1,0,,0,,2,2,1,0,2,2,0,incomplete,0,1,4,5,SEARCH,100,5123,5802,24705,29,145857,348,146205,complete,0,,,,
gemini-3-pro-preview_knowledge-equalized_maintenance_2,gemini-3-pro-preview_knowledge-equalized_maintenance_2.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,knowledge-equalized,maintenance,standard,2,"2/25/2026, 3:31:12 PM",1,3,5,0,0,0,0,1,1,1,domain_grounded,domain_first,paraphrase_only,3,1,0.75,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,57,0,7,0,1,3,4,0,1,1,,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,143,5155,3557,16574,31,195678,385,196063,complete,0,
gemini-3-pro-preview_knowledge-equalized_maintenance_3,gemini-3-pro-preview_knowledge-equalized_maintenance_3.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,knowledge-equalized,maintenance,standard,3,"2/25/2026, 3:20:20 PM",1,-1,8,0,0,0,0,1,1,1,domain_grounded,logs_first,paraphrase_only,2,1,0.6666666666666666,,thermostat_failure,,1,1,2,0,6,none,0,,0,0,0,stall,task_abandoned,,,0,0,0,0,5,0,0,,0,,0,,0,,0,,0,0,0,,0,0,0,incomplete,0,0,0,0,,175,,,,38,203923,364,204287,complete,0,,,,
gemini-3-pro-preview_knowledge-equalized_maintenance_4,gemini-3-pro-preview_knowledge-equalized_maintenance_4.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,knowledge-equalized,maintenance,standard,4,"2/25/2026, 6:20:00 PM",1,3,5,0,0,0,0,1,1,1,domain_grounded,domain_first,paraphrase_only,1,3,0.25,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,93,0,7,0,0,2,4,0,1,1,,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,167,6163,7494,31367,35,197905,356,198261,complete,0,
gemini-3-pro-preview_knowledge-equalized_maintenance_5,gemini-3-pro-preview_knowledge-equalized_maintenance_5.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,knowledge-equalized,maintenance,standard,5,"2/25/2026, 6:24:33 PM",1,3,5,0,0,0,0,1,1,1,domain_grounded,domain_first,paraphrase_only,3,1,0.75,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,38,0,7,0,0,2,4,0,1,1,,1,1,0,,0,,2,2,1,0,1,1,1,success,0,4,3,7,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,118,5096,3979,15631,30,175355,455,175810,complete,0,
gemini-3-pro-preview_no-plans_maintenance_1,gemini-3-pro-preview_no-plans_maintenance_1.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,no-plans,maintenance,standard,1,"2/25/2026, 6:05:46 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,unsupported_recurrence,0,1,0,,thermostat_failure,,1,0,5,1,5,SEARCH,1,,,,,,,,55,3,2,0.6,0,2,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,140,6111,6500,28123,25,159080,333,159413,complete,0,
gemini-3-pro-preview_no-plans_maintenance_2,gemini-3-pro-preview_no-plans_maintenance_2.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,no-plans,maintenance,standard,2,"2/25/2026, 6:10:16 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,1,0,,thermostat_failure,,1,0,1,0,5,WAYPOINT,0,,0,0,1,loop,task_abandoned,,38,0,2,0,0,2,1,0,1,,,,,,,,,,,,,,,0,incomplete,0,1,1,2,WAYPOINT,38,8080,6339,16215,5,19961,135,20096,complete,0,,,,
gemini-3-pro-preview_no-plans_maintenance_3,gemini-3-pro-preview_no-plans_maintenance_3.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,no-plans,maintenance,standard,3,"2/25/2026, 6:12:14 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,paraphrase_only,0,1,0,,thermostat_failure,,1,0,2,0,5,WAYPOINT,0,,1,0,2,loop,task_abandoned,,34,0,2,0,0,2,1,1,0.5,,,,,,,,,,,,,,,0,incomplete,0,2,1,3,WAYPOINT,STOP,66,4648,4580,15712,17,74483,190,74673,complete,0,,,
gemini-3-pro-preview_no-plans_maintenance_4,gemini-3-pro-preview_no-plans_maintenance_4.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,no-plans,maintenance,standard,4,"2/25/2026, 6:14:13 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,correct_separation,0,1,0,,thermostat_failure,,1,0,5,1,5,SEARCH,1,,,,,,,,48,0,5,0,0,0,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,124,5522,4433,18657,26,180268,353,180621,complete,0,
gemini-3-pro-preview_no-plans_maintenance_5,gemini-3-pro-preview_no-plans_maintenance_5.json,gemini-3-pro-preview,gemini-3-pro-preview,,google,no-plans,maintenance,standard,5,"2/25/2026, 6:17:13 PM",1,1,5,0,0,0,0,1,1,1,data_anchored,logs_first,correct_separation,0,1,0,,thermostat_failure,,1,0,5,1,5,SEARCH,1,,,,,,,,35,0,5,0,0,2,4,0,1,,,,,,,,,,,,,,,1,success,0,4,1,5,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,122,4430,2109,10770,27,167320,337,167657,complete,0,
gpt-5-mini_knowledge-equalized_maintenance_1,gpt-5-mini_knowledge-equalized_maintenance_1.json,gpt-5-mini,gpt-5-mini,,openai,knowledge-equalized,maintenance,standard,1,"2/25/2026, 6:53:56 PM",1,2,5,0,0,0,0,1,1,1,domain_grounded,domain_first,correct_separation,4,2,0.6666666666666666,,thermostat_failure,,1,1,5,1,5,SEARCH,1,,,,,,,,74,4,5,0.4444444444444444,0,3,9,0,1,0,,1,1,0,,0,,1,1,1,0,1,1,1,success,0,9,2,11,SEARCH,PICKUP,WAYPOINT,DROPOBJECT,201,6686,5787,22437,38,286917,9878,296795,complete,0,
